No,調査年度,探査機器,調査区分,Title,調査対象,調査場所,latitude,longitude,photo
1,2023,ミラ,状態調査,ジャンカ・空洞調査,鋼構造物,長野県諏訪市,36.0391748,138.11398,R6_東伊豆.jpg
2,2023,オーリス,形状調査,橋台形状調査,"コンクリート
構造物",静岡県下田市,34.679545,138.945379,R6_藤沢.jpg
3,2023,オーリス,形状調査,H鋼根入れ調査,鋼構造物,東京都渋谷区,35.663676,139.6976754,R6_北九州若松.jpg
4,2023,オーリス,形状調査,橋台の厚さ調査,"コンクリート
構造物",栃木県大田原市,36.87103,140.0154048,R6-3_大津市.jpg
5,2023,オーリス,形状調査,橋脚の根入れ調査,"コンクリート
構造物",愛媛県西宇和郡伊方町,33.4896014,132.3560996,R6-4_さいたま.jpg
7,2023,オーリス、ミラ,形状調査,スラブ厚調査,コンクリート構造物,埼玉県深谷市,36.1974016,139.2816997,R6-5_MIRA_山梨.jpg
8,2023,オーリス,形状調査,跨線橋基礎杭長調査,"コンクリート
構造物",岩手県盛岡市,39.7021331,141.1545397,R6-6_川越.jpg
10,2023,オーリス,形状調査,壁厚調査,"コンクリート
構造物",新潟県柏崎市,37.3719095,138.5591406,R6-7_珠洲市.jpg
12,2023,オーリス,状態調査,橋脚（ケーソン）の健全性調査,コンクリート構造物,山梨県甲府市,35.6652481,138.5710441,R6-8_大阪.jpg
13,2023,オーリス,形状調査,吊り橋の基礎根入れ調査,コンクリート構造物,福島県いわき市,37.0504227,140.8876338,R6-9_竜ケ崎-1.jpg
15,2023,オーリス、ミラ,形状調査,橋台及びフーチング、地中梁の形状調査,コンクリート構造物,兵庫県神戸市,34.6932379,135.1943764,R6-11_四日市.jpg
16,2023,オーリス,状態調査,フーチング及び基礎杭の状態調査,コンクリート構造物,石川県志賀町,37.0664255,136.7577514,R6-16_オーリスMIA東伊豆2.jpg
17,2023,オーリス,状態調査,グラウンドアンカーの状態調査,コンクリート構造物,長野県大町市,36.5029093,137.8508885,R6-23_郡山.jpg
18,2023,"ミラ、
パルサー",状態調査,トンネル覆工コンクリートひび割れ調査,コンクリート構造物,岐阜県岐阜市,35.4230949,136.7627526,R6-24_前橋.jpg
19,2023,オーリス,形状調査,既設杭の杭長調査,コンクリート構造物,東京都渋谷区,35.663676,139.6976754,R6-22_金沢.jpg
20,2023,オーリス、ミラ,形状調査,スノーシェッドの形状調査,コンクリート構造物,岐阜県白川村,36.2710215,136.8986129,R6-14_群馬.jpg
21,2023,オーリス,形状調査,鋼矢板の杭長調査,コンクリート構造物,神奈川県相模原市,35.5714621,139.3731052,R6-17_藤枝.jpg
23,2023,オーリス,形状調査,砂防堰堤形状調査（根入れ深さ）,コンクリート構造物,静岡県東伊豆町,34.7728171,139.0412102,R6-9_竜ケ崎-2.jpg
26,2023,オーリス,状態調査,ケーソンの状態（損傷有無）調査,コンクリート構造物,福岡県北九州市若松区,33.9054899,130.8112939,R6_北九州若松.jpg
29,2023,オーリス,形状調査,推定杭長調査,コンクリート構造物,滋賀県大津市,35.0177852,135.8548122,R6-19_草加市.jpg
30,2023,オーリス,形状調査,推定杭長調査,コンクリート構造物,東京都足立区,35.7746029,139.8045163,R6-20_兵庫県福崎.jpg
31,2023,オーリス,形状調査,場所打ち杭長,コンクリート構造物,東京都北区,35.7528821,139.7338331,R6-22_金沢.jpg
32,2023,オーリス,状態調査,柱状改良部の確認,コンクリート構造物,神奈川県藤沢市,35.3388615,139.4909335,R6-18_大森.jpg
33,2024,オーリス,形状調査,擁壁H鋼の根入れ長調査,コンクリート構造物,埼玉県さいたま市,35.8616402,139.6457957,R6-13_川越鋼矢板.jpg
35,2024,オーリス,形状調査,歩道橋基礎杭長調査,コンクリート構造物,埼玉県川越市,35.9251145,139.4856927,R6-8_大阪.jpg
36,2024,オーリス,形状調査,鋼矢板長調査,鋼構造物,東京都世田谷区,35.6465668,139.6532284,R6-9_竜ケ崎-1.jpg
37,2024,オーリス,形状調査,既存PC杭長調査,コンクリート構造物,東京都江戸川区,35.7066318,139.868677,R6-11_四日市.jpg
38,2024,オーリス,状態調査,橋梁の場所打ち杭の健全性評価,コンクリート構造物,石川県珠洲市,37.4363793,137.2606015,R6-16_オーリスMIA東伊豆2.jpg
39,2024,オーリス,形状調査,PC杭長調査,コンクリート構造物,埼玉県上尾市,35.9774082,139.5930504,R6-23_郡山.jpg
40,2024,オーリス、ミラ,状態調査,連系トラス鉄構の既設基礎の健全性調査,コンクリート構造物,大阪府高石氏,34.5207361,135.4424339,R6-24_前橋.jpg
42,2024,ミラ,状態調査,排水樋管の主筋・配力筋の検知,コンクリート構造物,山形県米沢市,37.9222426,140.1166276,R6-22_金沢.jpg
43,2024,オーリス、ミラ,形状調査,既設擁壁（新利根橋取付け擁壁）の形状調査,コンクリート構造物,茨城県竜ケ崎市,35.9113158,140.181878,R6-14_群馬.jpg
46,2024,オーリス、ミラ,形状調査,擁壁の根入れ調査（オーリス）、壁厚調査（MIRA）,コンクリート構造物,福岡県北九州市門司区,33.9411645,130.9597976,R6-17_藤枝.jpg
49,2024,オーリス,形状調査,桟橋の鋼管杭長調査,鋼構造物,三重県四日市市,34.9648428,136.624845,R6-9_竜ケ崎-2.jpg
50,2024,ミラ,状態調査,新駅（北海道新幹線）の橋脚、橋脚フーチングの表面に発生するジャンカの奥行の把握,コンクリート構造物,北海道八雲町,42.2558309,140.2649322,R6_北九州若松.jpg
51,2024,オーリス,形状調査,既設鋼矢板の根入れ長調査,鋼構造物,埼玉県川越市,35.9251145,139.4856927,R6-19_草加市.jpg
54,2024,オーリス,形状調査,既存地滑り抑止鋼管杭の杭長調査,鋼構造物,群馬県上野村,36.0831883,138.7771654,R6-20_兵庫県福崎.jpg
56,2024,オーリス,形状調査,既設擁壁の形状調査,コンクリート構造物,愛知県犬山市,35.3609734,136.9845491,R6-22_金沢.jpg
57,2024,オーリス,形状調査,物基礎杭の杭長調査,コンクリート構造物,東京都墨田区,35.7104196,139.8017421,R6-18_大森.jpg
58,2024,オーリス,形状調査,既存地下道の基礎杭の有無の調査,コンクリート構造物,岐阜県美濃市,35.5442619,136.9075182,R6-13_川越鋼矢板.jpg
60,2024,オーリス、ミラ,形状調査,擁壁の形状調査（高さ、厚さ）,コンクリート構造物,静岡県東伊豆町,34.7728171,139.0412102,R6-8_大阪.jpg
62,2024,オーリス,形状調査,既設橋台・橋脚の躯体高の調査,コンクリート構造物,静岡県藤枝市,34.8674167,138.2577222,R6-9_竜ケ崎-1.jpg
64,2024,オーリス,形状調査,既存PC杭長調査,コンクリート構造物,東京都大田区,35.561206,139.715843,R6-11_四日市.jpg
65,2024,オーリス,形状調査,矢板長調査,鋼構造物,埼玉県草加市,35.8262233,139.8061784,R6-16_オーリスMIA東伊豆2.jpg
67,2024,オーリス,形状調査,パイルベント橋脚の長さ調査,コンクリート構造物,兵庫県福崎市,34.663336,135.1441862,R6-23_郡山.jpg
68,2024,オーリス,形状調査,既存護岸鋼矢板長の調査,鋼構造物,神奈川県藤沢市,35.3388615,139.4909335,R6-24_前橋.jpg
69,2024,オーリス,形状調査,護岸矢板長の調査,鋼構造物,石川県金沢市,36.561627,136.6568822,R6-22_金沢.jpg
70,2024,オーリス,形状調査,橋脚コンクリート推定根入れ長調査,コンクリート構造物,福島県郡山市,37.404937,140.333381,R6-14_群馬.jpg
73,2024,ミラ,形状調査,鉄筋位置の推定調査,コンクリート構造物,三重県四日市,34.9630151,136.6302658,R6-17_藤枝.jpg
75,2024,ミラ,状態調査,ジャンカ周辺の奥行方向の広がりの把握,コンクリート構造物,群馬県前橋市,36.3893418,139.0632826,R6-9_竜ケ崎-2.jpg
